code,t0,expected,actual,min_d,max_d,ratio,complete
159561.SZ,2024-04-30,479,475,2024-04-30,2026-04-23,0.991649,True
159395.SZ,2025-01-27,297,298,2025-01-27,2026-04-23,1.003367,True
520870.SZ,2025-11-13,106,107,2025-11-13,2026-04-23,1.009434,True
515550.SH,2019-12-25,1531,1517,2019-12-25,2026-04-23,0.990856,True
159998.SZ,2020-04-13,1461,1462,2020-04-13,2026-04-23,1.000684,True
159997.SZ,2020-03-20,1476,1477,2020-03-20,2026-04-23,1.000678,True
159996.SZ,2020-03-16,1480,1481,2020-03-16,2026-04-23,1.000676,True
159995.SZ,2020-02-10,1505,1506,2020-02-10,2026-04-23,1.000664,True
159994.SZ,2020-02-28,1491,1492,2020-02-28,2026-04-23,1.000671,True
159993.SZ,2020-02-07,1506,1507,2020-02-07,2026-04-23,1.000664,True
159992.SZ,2020-04-10,1462,1463,2020-04-10,2026-04-23,1.000684,True
159991.SZ,2020-04-24,1452,1453,2020-04-24,2026-04-23,1.000689,True
159985.SZ,2019-12-05,1545,1546,2019-12-05,2026-04-23,1.000647,True
159982.SZ,2020-02-20,1497,1498,2020-02-20,2026-04-23,1.000668,True
159981.SZ,2020-01-17,1515,1516,2020-01-17,2026-04-23,1.000660,True
159980.SZ,2019-12-24,1532,1533,2019-12-24,2026-04-23,1.000653,True
159977.SZ,2019-09-27,1589,1590,2019-09-27,2026-04-23,1.000629,True
159976.SZ,2020-01-17,1515,1512,2020-01-17,2026-04-23,0.998020,True
159975.SZ,2020-01-02,1526,1527,2020-01-02,2026-04-23,1.000655,True
159974.SZ,2019-12-18,1536,1532,2019-12-18,2026-04-23,0.997396,True
159973.SZ,2019-08-09,1623,1612,2019-08-09,2026-04-23,0.993222,True
159972.SZ,2019-11-08,1564,1560,2019-11-08,2026-04-23,0.997442,True
159971.SZ,2019-07-02,1651,1650,2019-07-02,2026-04-23,0.999394,True
159970.SZ,2020-01-10,1520,1516,2020-01-10,2026-04-23,0.997368,True
159968.SZ,2019-10-31,1570,1571,2019-10-31,2026-04-23,1.000637,True
159967.SZ,2019-07-15,1642,1643,2019-07-15,2026-04-23,1.000609,True
159966.SZ,2019-07-15,1642,1643,2019-07-15,2026-04-23,1.000609,True
159965.SZ,2019-04-24,1696,1697,2019-04-24,2026-04-23,1.000590,True
159964.SZ,2019-04-19,1699,1700,2019-04-19,2026-04-23,1.000589,True
159961.SZ,2018-12-19,1778,1763,2018-12-19,2026-04-23,0.991564,True
159960.SZ,2018-10-22,1820,1817,2018-10-22,2026-04-23,0.998352,True
159959.SZ,2019-01-18,1758,1759,2019-01-18,2026-04-23,1.000569,True
159958.SZ,2018-01-19,2000,2001,2018-01-19,2026-04-23,1.000500,True
159957.SZ,2018-01-04,2011,2012,2018-01-04,2026-04-23,1.000497,True
159956.SZ,2018-03-07,1972,1972,2018-03-07,2026-04-23,1.000000,True
159954.SZ,2018-03-15,1966,1967,2018-03-15,2026-04-23,1.000509,True
159952.SZ,2017-05-19,2167,2155,2017-05-19,2026-04-23,0.994462,True
159949.SZ,2016-07-22,2366,2367,2016-07-22,2026-04-23,1.000423,True
159948.SZ,2016-05-31,2402,2401,2016-05-31,2026-04-23,0.999584,True
159945.SZ,2016-04-22,2428,2499,2016-01-04,2026-04-23,1.029242,True
159944.SZ,2016-04-22,2428,2477,2016-01-04,2026-04-23,1.020181,True
159936.SZ,2016-04-22,2428,2436,2016-01-04,2026-04-23,1.003295,True
159935.SZ,2016-04-22,2428,2401,2016-01-04,2026-04-23,0.988880,True
159934.SZ,2016-04-22,2428,2502,2016-01-04,2026-04-23,1.030478,True
