code,trade_date
159216.SZ,2026-01-26
159229.SZ,2026-03-11
159240.SZ,2026-04-14
159303.SZ,2025-08-19
159305.SZ,2025-08-12
159306.SZ,2025-07-30
159318.SZ,2026-04-15
159320.SZ,2025-11-04
159321.SZ,2025-10-16
159321.SZ,2025-10-27
159321.SZ,2025-10-28
159321.SZ,2025-10-29
159321.SZ,2025-10-30
159321.SZ,2025-10-31
159322.SZ,2025-04-10
159329.SZ,2025-01-10
159329.SZ,2025-01-17
159329.SZ,2025-01-22
159329.SZ,2025-01-24
159367.SZ,2025-12-04
159377.SZ,2026-03-03
159391.SZ,2025-12-10
159505.SZ,2024-12-31
159505.SZ,2025-10-16
159507.SZ,2025-01-21
159507.SZ,2025-10-21
159517.SZ,2024-06-27
159517.SZ,2025-03-20
159518.SZ,2025-01-16
159518.SZ,2025-01-24
159521.SZ,2025-09-16
159527.SZ,2024-07-23
159527.SZ,2025-04-15
159528.SZ,2025-12-04
159529.SZ,2025-01-10
159529.SZ,2025-01-17
159529.SZ,2025-01-22
159529.SZ,2025-01-24
159533.SZ,2024-12-31
159533.SZ,2025-11-10
159537.SZ,2024-10-15
159538.SZ,2024-05-20
159539.SZ,2024-07-30
159539.SZ,2025-04-22
159542.SZ,2025-05-15
159547.SZ,2024-11-05
159547.SZ,2025-04-08
159547.SZ,2025-07-24
159552.SZ,2025-04-23
159553.SZ,2024-08-27
159553.SZ,2025-05-15
159555.SZ,2025-12-29
159556.SZ,2026-01-07
159561.SZ,2025-01-10
159561.SZ,2025-01-15
159561.SZ,2025-01-17
159561.SZ,2025-01-21
159561.SZ,2025-01-24
159563.SZ,2024-11-19
159563.SZ,2026-01-13
159575.SZ,2025-02-12
159575.SZ,2025-11-27
159578.SZ,2025-04-22
159583.SZ,2025-09-11
159586.SZ,2024-08-27
159586.SZ,2025-06-12
159587.SZ,2025-07-01
159587.SZ,2026-03-11
159589.SZ,2024-08-27
159612.SZ,2025-01-10
159612.SZ,2025-01-24
159617.SZ,2025-09-16
159620.SZ,2024-12-03
159621.SZ,2024-10-30
159621.SZ,2025-04-30
159621.SZ,2025-06-24
159627.SZ,2024-12-10
159627.SZ,2025-12-23
159630.SZ,2024-12-16
159645.SZ,2023-07-31
159645.SZ,2024-05-27
159653.SZ,2024-07-10
159653.SZ,2024-07-22
159653.SZ,2024-07-24
159653.SZ,2024-07-29
159653.SZ,2024-08-02
159653.SZ,2024-08-14
159653.SZ,2024-08-20
159653.SZ,2024-08-21
159653.SZ,2024-08-22
159653.SZ,2024-08-23
159653.SZ,2024-08-27
159653.SZ,2024-08-29
159653.SZ,2024-09-12
159653.SZ,2024-09-20
159653.SZ,2025-01-17
159653.SZ,2025-01-22
159653.SZ,2025-01-27
159653.SZ,2025-02-11
159653.SZ,2025-02-13
159653.SZ,2025-02-20
159653.SZ,2025-03-05
159653.SZ,2025-03-10
159653.SZ,2025-03-12
159653.SZ,2025-03-13
159653.SZ,2025-03-24
159653.SZ,2025-03-25
159653.SZ,2025-03-26
159653.SZ,2025-04-18
159653.SZ,2025-04-30
159653.SZ,2025-06-03
159653.SZ,2025-08-08
159653.SZ,2025-12-02
159653.SZ,2025-12-31
159653.SZ,2026-04-13
159661.SZ,2025-11-04
159662.SZ,2024-11-27
159677.SZ,2025-06-17
159677.SZ,2026-03-31
159685.SZ,2024-07-30
159685.SZ,2025-04-01
159686.SZ,2024-08-28
159687.SZ,2025-01-17
159687.SZ,2025-01-22
159687.SZ,2025-01-24
159689.SZ,2024-08-14
159690.SZ,2024-05-08
159701.SZ,2023-01-16
159711.SZ,2024-11-19
159716.SZ,2025-04-21
159716.SZ,2025-08-25
159716.SZ,2025-09-09
159716.SZ,2025-09-10
159716.SZ,2025-09-11
