code,name,exchange
000001,平安银行,SZ
000002,万科A,SZ
000063,中兴通讯,SZ
000100,TCL科技,SZ
000333,美的集团,SZ
000651,格力电器,SZ
000725,京东方A,SZ
000858,五粮液,SZ
002001,新和成,SZ
002007,华兰生物,SZ
002024,苏宁易购,SZ
002027,分众传媒,SZ
002044,美年健康,SZ
002120,韵达股份,SZ
002142,宁波银行,SZ
002230,科大讯飞,SZ
002236,大华股份,SZ
002271,东方雨虹,SZ
002304,洋河股份,SZ
002352,顺丰控股,SZ
002410,广联达,SZ
002415,海康威视,SZ
002460,赣锋锂业,SZ
002475,立讯精密,SZ
002594,比亚迪,SZ
002714,牧原股份,SZ
002812,恩捷股份,SZ
300003,乐普医疗,SZ
300014,亿纬锂能,SZ
300015,爱尔眼科,SZ
300033,同花顺,SZ
300059,东方财富,SZ
300122,智飞生物,SZ
300124,汇川技术,SZ
300142,沃森生物,SZ
300274,阳光电源,SZ
300408,三环集团,SZ
300413,芒果超媒,SZ
300433,蓝思科技,SZ
300496,中科创达,SZ
300750,宁德时代,SZ
300760,迈瑞医疗,SZ
600000,浦发银行,SH
600009,上海机场,SH
600016,民生银行,SH
600028,中国石化,SH
600030,中信证券,SH
600031,三一重工,SH
600036,招商银行,SH
600048,保利地产,SH
600050,中国联通,SH
600104,上汽集团,SH
600276,恒瑞医药,SH
600309,万华化学,SH
600346,恒力石化,SH
600406,国电南瑞,SH
600436,片仔癀,SH
600438,通威股份,SH
600519,贵州茅台,SH
600585,海螺水泥,SH
600660,福耀玻璃,SH
600690,海尔智家,SH
600745,闻泰科技,SH
600809,山西汾酒,SH
600837,海通证券,SH
600887,伊利股份,SH
600900,长江电力,SH
601012,隆基绿能,SH
601088,中国神华,SH
601111,中国国航,SH
601166,兴业银行,SH
601186,中国铁建,SH
601288,农业银行,SH
601318,中国平安,SH
601336,新华保险,SH
601398,工商银行,SH
601601,中国太保,SH
601628,中国人寿,SH
601633,长城汽车,SH
601668,中国建筑,SH
601688,华泰证券,SH
601766,中国中车,SH
601857,中国石油,SH
601888,中国中免,SH
601939,建设银行,SH
601988,中国银行,SH
601989,中国重工,SH
603288,海天味业,SH
603501,韦尔股份,SH
603659,璞泰来,SH
603986,兆易创新,SH
688001,华兴源创,SH
688008,澜起科技,SH
688009,中国通号,SH
688012,中微公司,SH
688036,传音控股,SH
688111,金山办公,SH
688169,石头科技,SH
688981,中芯国际,SH
